uid,domainID,siteID,namedLocation,collectDate,processedDate,waterSampleID,waterSampleCode,equilibratedAirSampleID,equilibratedAirSampleCode,referenceAirSampleID,referenceAirSampleCode,storageWaterTemp,ptBarometricPressure,waterVolumeSyringe,gasVolumeSyringe,gasVolumeSample,lowGasVolumeQF,sdgProcessDataQF,publicationDate
cfbec28e-261a-4b02-a8dc-3b507d78b9fc,D01,HOPB,HOPB.AOS.S2,2017-06-20T12:56Z,2017-06-20T13:09Z,HOPB.SS.20170620,,HOPB.SS.20170620.WAT,,HOPB.SS.20170620.AIR,,,98.6,42,18,16,0,,20200224T171415Z
8b180869-3acc-4966-a740-b4b4cbac8b31,D01,HOPB,HOPB.AOS.S2,2017-07-10T16:09Z,2017-07-10T16:08Z,HOPB.SS.20170710,,HOPB.SS.20170710.WAT,,HOPB.SS.20170710.AIR,,20.5,99.3,40,20,20,0,,20200224T171137Z
075717da-2a4e-4e79-bb70-8eacd11a0c8e,D01,HOPB,HOPB.AOS.S2,2017-07-25T12:30Z,2017-07-25T12:42Z,HOPB.SS.20170725,,HOPB.SS.20170725.WAT,,HOPB.SS.20170725.AIR,,,99.55,40,20,20,0,,20200224T171137Z
1f685235-a00d-43fb-b0ae-eb333dfa0381,D01,HOPB,HOPB.AOS.S2,2017-08-08T12:57Z,2017-08-08T13:22Z,HOPB.SS.20170808,,HOPB.SS.20170808.WAT,,HOPB.SS.20170808.AIR,,,99,40,20,20,0,,20200224T172159Z
503a413a-bdc5-4223-8fa6-87401b213db7,D01,HOPB,HOPB.AOS.S2,2017-09-06T13:00Z,2017-09-06T12:37Z,HOPB.SS.20170906,,HOPB.SS.20170906.WAT,,HOPB.SS.20170906.AIR,,,98.9,40,20,17,0,,20200224T164542Z
f9d11688-a807-4ee4-a25f-9d6d0fe67170,D01,HOPB,HOPB.AOS.S2,2017-09-12T13:08Z,2017-09-12T13:22Z,HOPB.SS.20170912,,HOPB.SS.20170912.WAT,,HOPB.SS.20170912.AIR,,,99.3,40,18,18,0,,20200224T164542Z
d054ab0e-639f-4107-be09-708ed45c740f,D01,HOPB,HOPB.AOS.S2,2017-10-17T12:39Z,2017-10-17T12:49Z,HOPB.SS.20171017,,HOPB.SS.20171017.WAT,,HOPB.SS.20171017.AIR,,,100.2,40,20,18,0,,20200224T164507Z
2e93645c-3834-4486-afc4-7af16b753978,D01,HOPB,HOPB.AOS.S2,2017-11-07T14:18Z,2017-11-07T14:54Z,HOPB.SS.20171107,,HOPB.SS.20171107.WAT,,HOPB.SS.20171107.AIR,,,99.7,40,20,17,0,,20200224T164109Z
c396fa14-69a1-454e-8452-c8d0c5683fd2,D01,HOPB,HOPB.AOS.S2,2017-11-13T14:28Z,2017-11-13T14:45Z,HOPB.SS.20171113,,HOPB.SS.20171113.WAT,,HOPB.SS.20171113.AIR,,,99.9,40,20,18,0,,20200224T164109Z
5040a336-fe3e-4a81-881e-4358851d2dfa,D01,HOPB,HOPB.AOS.S2,2017-12-06T15:50Z,2017-12-06T19:33Z,HOPB.SS.20171206,,HOPB.SS.20171206.WAT,,HOPB.SS.20171206.AIR,,,98.7,40,20,18,0,,20200224T163947Z
