uid,domainID,siteID,namedLocation,collectDate,parentSampleID,waterSampleID,waterSampleCode,sdgFieldDataQF,publicationDate
d465b2df-60ee-4db9-b73e-1a620c53839a,D01,HOPB,HOPB.AOS.S2,2018-01-25T14:42Z,HOPB.SS.20180125,HOPB.SS.20180125,,,20200224T170524Z
874a3067-3cbf-442d-b9af-21491fff05b7,D01,HOPB,HOPB.AOS.S2,2018-02-14T15:10Z,HOPB.SS.20180214,HOPB.SS.20180214,,,20200224T172042Z
82b254fe-3026-4551-b626-59d725e60bb4,D01,HOPB,HOPB.AOS.S2,2018-02-20T15:12Z,HOPB.SS.20180220,HOPB.SS.20180220,,,20200224T172042Z
13d00d68-8453-4f6b-b029-65d01cf198e7,D01,HOPB,HOPB.AOS.S2,2018-02-28T14:33Z,HOPB.SS.20180228,HOPB.SS.20180228,,,20200224T172042Z
6c67bf44-01fe-44c0-9093-1405ef99fef6,D01,HOPB,HOPB.AOS.S2,2018-03-06T14:34Z,HOPB.SS.20180306,HOPB.SS.20180306,,,20200224T171801Z
ef40bef8-b244-43ba-a22c-a01dd89d815a,D01,HOPB,HOPB.AOS.S2,2018-03-12T14:52Z,HOPB.SS.20180312,HOPB.SS.20180312,,,20200224T171801Z
ad099ce1-8161-45db-9025-4bced4b6172c,D01,HOPB,HOPB.AOS.S2,2018-03-19T14:21Z,HOPB.SS.20180319,HOPB.SS.20180319,,,20200224T171801Z
d72e4525-6204-47ef-91f0-c8c70f261e44,D01,HOPB,HOPB.AOS.S2,2018-03-29T14:10Z,HOPB.SS.20180329,HOPB.SS.20180329,,,20200224T171801Z
837bc340-7cc9-4be9-ac72-11f84058655a,D01,HOPB,HOPB.AOS.S2,2018-04-05T14:32Z,HOPB.SS.20180405,HOPB.SS.20180405,,,20200224T171614Z
240ea198-a9aa-4e2c-ae5f-882e4123e807,D01,HOPB,HOPB.AOS.S2,2018-04-10T13:30Z,HOPB.SS.20180410,HOPB.SS.20180410,,,20200224T171614Z
611395e4-d230-49b9-9739-e6e2065987c7,D01,HOPB,HOPB.AOS.S2,2018-04-16T13:47Z,HOPB.SS.20180416,HOPB.SS.20180416,,,20200224T171614Z
64179651-a62b-4392-918c-e6a011be7639,D01,HOPB,HOPB.AOS.S2,2018-04-25T14:35Z,HOPB.SS.20180425,HOPB.SS.20180425,,,20200224T171614Z
bdc5f4e5-8fc3-4e66-85e3-488d959dd66d,D01,HOPB,HOPB.AOS.S2,2018-05-14T14:00Z,HOPB.SS.20180514,HOPB.SS.20180514,,,20200224T171411Z
da8a90f5-2c92-473e-8f26-1e8ee4e23665,D01,HOPB,HOPB.AOS.S2,2018-05-22T14:33Z,HOPB.SS.20180522,HOPB.SS.20180522,,,20200224T171411Z
6203bdaa-d981-48a0-ad06-961c2ca435f8,D01,HOPB,HOPB.AOS.S2,2018-06-04T14:50Z,HOPB.SS.20180604,HOPB.SS.20180604,,,20200224T171141Z
0b3acb09-fad9-48cb-a99b-e19473966ee3,D01,HOPB,HOPB.AOS.S2,2018-06-19T13:44Z,HOPB.SS.20180619,HOPB.SS.20180619,,,20200224T171141Z
52abfa00-94f3-4071-ad44-6ad279834d7c,D01,HOPB,HOPB.AOS.S2,2018-07-11T14:20Z,HOPB.SS.20180711,HOPB.SS.20180711,,,20200224T172204Z
ace20807-3582-4f57-a6c1-5765fbbd7376,D01,HOPB,HOPB.AOS.S2,2018-07-17T15:16Z,HOPB.SS.20180717,HOPB.SS.20180717,,,20200224T172204Z
a81101a3-0060-4dcc-926c-62da14c77a5b,D01,HOPB,HOPB.AOS.S2,2018-08-14T12:57Z,HOPB.SS.20180814,HOPB.SS.20180814,,,20200224T164546Z
2eeee261-fb05-4de5-b71e-1140e194f408,D01,HOPB,HOPB.AOS.S2,2018-09-06T13:08Z,HOPB.SS.20180906,HOPB.SS.20180906,,,20200224T164514Z
fab79ea0-4570-4dcc-af78-c0e0801a1b90,D01,HOPB,HOPB.AOS.S2,2018-09-25T13:00Z,HOPB.SS.20180925,HOPB.SS.20180925,,,20200224T164514Z
a976d5f7-c09a-4ca9-bee7-3f3aa7c44b06,D01,HOPB,HOPB.AOS.S2,2018-10-09T15:06Z,HOPB.SS.20181009,HOPB.SS.20181009,,,20200224T164112Z
4362f5f2-f5c6-4b89-a2de-0bc6b5330fea,D01,HOPB,HOPB.AOS.S2,2018-11-06T14:26Z,HOPB.SS.20181106,HOPB.SS.20181106,,,20200224T163937Z
05b2eb9d-62b6-4b83-b308-ecd0c1e7891c,D01,HOPB,HOPB.AOS.S2,2018-11-13T15:44Z,HOPB.SS.20181113,HOPB.SS.20181113,,,20200224T163937Z
6ab20a12-576d-46c8-b779-1ecf0dff81ff,D01,HOPB,HOPB.AOS.S2,2018-12-04T14:57Z,HOPB.SS.20181204,HOPB.SS.20181204,,,20200224T164708Z
d403f7a7-7a37-4907-9690-b677442294af,D01,HOPB,HOPB.AOS.S2,2018-12-10T14:51Z,HOPB.SS.20181210,HOPB.SS.20181210,,,20200224T164708Z
29880f62-0898-4315-bbdd-d76d5bd528c3,D01,HOPB,HOPB.AOS.S2,2019-01-24T14:58Z,HOPB.SS.20190124,HOPB.SS.20190124,,,20200224T172047Z
175adbf8-beae-49fe-a56e-bcafd5ae7f60,D01,HOPB,HOPB.AOS.S2,2019-01-29T15:35Z,HOPB.SS.20190129,HOPB.SS.20190129,,,20200224T172047Z
98d4e8c6-cad6-45c3-95d6-eaee6fe3afa7,D01,HOPB,HOPB.AOS.S2,2019-02-14T14:15Z,HOPB.SS.20190214,HOPB.SS.20190214,,,20200224T171813Z
0ecbf83a-5353-40c9-a614-36d13bd05a87,D01,HOPB,HOPB.AOS.S2,2019-02-26T14:36Z,HOPB.SS.20190226,HOPB.SS.20190226,,,20200224T171813Z
1de8a341-e7cc-4011-b88f-618abe4f187d,D01,HOPB,HOPB.AOS.S2,2019-03-06T14:52Z,HOPB.SS.20190306,HOPB.SS.20190306,,,20200224T171619Z
35f9e9cc-1871-41b7-a745-df3926038b09,D01,HOPB,HOPB.AOS.S2,2019-03-12T14:12Z,HOPB.SS.20190312,HOPB.SS.20190312,,,20200224T171619Z
6d5cd558-7aa3-4afd-9f9f-461ec376f13e,D01,HOPB,HOPB.AOS.S2,2019-03-21T14:35Z,HOPB.SS.20190321,HOPB.SS.20190321,,,20200224T171619Z
fcb6140e-4d61-4359-9b3a-50d7a0b7c114,D01,HOPB,HOPB.AOS.S2,2019-03-28T13:54Z,HOPB.SS.20190328,HOPB.SS.20190328,,,20200224T171619Z
a4d48181-c614-4e59-a187-52c86f421739,D01,HOPB,HOPB.AOS.S2,2019-04-04T13:06Z,HOPB.SS.20190404,HOPB.SS.20190404,,,20200224T171407Z
be57120c-7b4e-4936-af9a-f6efbcc6c4de,D01,HOPB,HOPB.AOS.S2,2019-04-09T14:44Z,HOPB.SS.20190409,HOPB.SS.20190409,,,20200224T171407Z
