uid,domainID,siteID,namedLocation,collectDate,analysisDate,internalLabID,internalSampleName,internalLabFileName,sampleID,sampleCode,concentrationCH4,runDetectionLimitCH4,precisionCH4,concentrationCO2,runDetectionLimitCO2,precisionCO2,concentrationN2O,runDetectionLimitN2O,precisionN2O,sampleCondition,laboratoryName,analyzedBy,externalRemarks,volumeGasAnalyzed,gasStandardAccuracy,gasCheckStandardPercentDev,gasCheckStandardQF,publicationDate
ab21bb1e-9eff-4ff5-a77d-e747a559169f,D04,GUIL,GUIL,2017-06-27T08:27Z,2017-07-13,27,GUIL.ss.20170627.AIR,C:\Chem32\1\Data\NEONGHG\NEONGHG 2017-07-17 11-35-19\GUIL.ss.20170627.AIR.D,GUIL.SS.20170627.AIR,,2.06,0.129,1.1,499.3,36.6,2.4,0.5133,0.037,3.3,OK,Loecke Lab at University of Kansas,CsTk6MsnqZVjNU51voiN6Q==,,1,2,,,20200224T175303Z
65bee1fe-2845-406b-b15b-be93c618ed1e,D04,GUIL,GUIL,2017-06-27T08:27Z,2017-07-13,28,GUIL.ss.20170627.WAT,C:\Chem32\1\Data\NEONGHG\NEONGHG 2017-07-17 11-35-19\GUIL.ss.20170627.WAT.D,GUIL.SS.20170627.WAT,,4.985,0.129,1.1,1158.1,36.6,2.4,0.5931,0.037,3.3,OK,Loecke Lab at University of Kansas,CsTk6MsnqZVjNU51voiN6Q==,,1,2,,,20200224T175303Z
a132f930-8f9a-4c4a-b422-1a8dabd12a93,D04,GUIL,GUIL,2017-07-19T12:34Z,2017-10-19,30,GUIL.SS.20170719.WAT,C:\Chem32\1\Data\NEONGHG\NEONGHG 2017-10-18 17-16-14\GUIL.ss.20170719.WAT.D,GUIL.SS.20170719.WAT,,4.7184013,,,2262.378362,,,0.9809867,,,OK,Loecke Lab at University of Kansas,CsTk6MsnqZVl67GYVvVQ07SS+WpGjG0rUhTjVnkDGdBXyFWTKVBFGw==,,,,,,20200224T161850Z
38821cb4-712f-4bf1-8e70-ba2ae366908a,D04,GUIL,GUIL,2017-07-19T12:34Z,2017-10-19,29,GUIL.SS.20170719.AIR,C:\Chem32\1\Data\NEONGHG\NEONGHG 2017-10-18 17-16-14\GUIL.ss.20170719.AIR.D,GUIL.SS.20170719.AIR,,1.995873,,,1206.5816062,,,0.6816683,,,OK,Loecke Lab at University of Kansas,CsTk6MsnqZVl67GYVvVQ07SS+WpGjG0rUhTjVnkDGdBXyFWTKVBFGw==,,,,,,20200224T161850Z
f9196afa-1fd2-4742-a2d0-7b6dffa671d3,D04,GUIL,GUIL,2017-07-24T09:44Z,2017-10-10,40,GUIL.ss.20170724.WAT,C:\Chem32\1\Data\NEONGHG\NEONGHG 2017-10-10 14-30-26\GUIL.ss.20170724.WAT.D,GUIL.SS.20170724.WAT,,5.111,0.129,1.1,1823.7,36.6,2.4,0.6867,0.037,3.3,"",Loecke Lab at University of Kansas,CsTk6MsnqZX+v5bUNyWTQTJEb+ycoJNQ,,1,2,,,20200224T161850Z
37dd4877-80bc-41e3-9fca-de4f4fe31b76,D04,GUIL,GUIL,2017-07-24T09:44Z,2017-10-10,41,GUIL.ss.20170724.AIR,C:\Chem32\1\Data\NEONGHG\NEONGHG 2017-10-10 14-30-26\GUIL.ss.20170724.AIR.D,GUIL.SS.20170724.AIR,,1.045,0.129,1.1,1683.6,36.6,2.4,0.7893,0.037,3.3,"",Loecke Lab at University of Kansas,CsTk6MsnqZX+v5bUNyWTQTJEb+ycoJNQ,,1,2,,,20200224T161850Z
0ebd1dce-999d-442b-b972-99fd26123772,D04,GUIL,GUIL,2017-08-22T13:13Z,2017-10-18,10,GUIL.SS.20170822.WAT,C:\Chem32\1\Data\NEONGHG\NEONGHG 2017-10-18 17-16-14\GUIL.ss.20170822.WAT.D,GUIL.SS.20170822.WAT,,4.3329456,,,1524.220201,,,1.3013052,,,OK,Loecke Lab at University of Kansas,CsTk6MsnqZVl67GYVvVQ07SS+WpGjG0rUhTjVnkDGdBXyFWTKVBFGw==,,,,,,20200224T161830Z
9db36d53-d28a-4531-9f6d-e0002c40b86f,D04,GUIL,GUIL,2017-08-22T13:13Z,2017-10-18,9,GUIL.SS.20170822.AIR,C:\Chem32\1\Data\NEONGHG\NEONGHG 2017-10-18 17-16-14\GUIL.ss.20170822.AIR.D,GUIL.SS.20170822.AIR,,1.8465378,,,949.4351543,,,0.5671445,,,OK,Loecke Lab at University of Kansas,CsTk6MsnqZVl67GYVvVQ07SS+WpGjG0rUhTjVnkDGdBXyFWTKVBFGw==,,,,,,20200224T161830Z
4ab0460c-aa82-4760-bb6c-8fc497f71dc1,D04,GUIL,GUIL,2017-08-29T09:20Z,2017-10-10,2,GUIL.ss.20170829.AIR,C:\Chem32\1\Data\NEONGHG\NEONGHG 2017-10-10 14-30-26\GUIL.ss.20170829.AIR.D,GUIL.SS.20170829.AIR,,1.744,0.129,1.1,688.1,36.6,2.4,0.506,0.037,3.3,"",Loecke Lab at University of Kansas,CsTk6MsnqZX+v5bUNyWTQTJEb+ycoJNQ,,1,2,,,20200224T161830Z
f5f9839f-1fe1-4fff-a2ed-1f81acbf8391,D04,GUIL,GUIL,2017-08-29T09:20Z,2017-10-10,1,GUIL.ss.20170829.WAT,C:\Chem32\1\Data\NEONGHG\NEONGHG 2017-10-10 14-30-26\GUIL.ss.20170829.WAT.D,GUIL.SS.20170829.WAT,,3.897,0.129,1.1,1097.39,36.6,2.4,0.5355,0.037,3.3,"",Loecke Lab at University of Kansas,CsTk6MsnqZX+v5bUNyWTQTJEb+ycoJNQ,,1,2,,,20200224T161830Z
