uid,domainID,siteID,namedLocation,collectDate,referenceAirSampleID,referenceAirSampleCode,airVolumeSample,remarks,lowAirVolumeQF,sdgAirDataQF,publicationDate
0f0dcb21-4a48-4467-91d9-08fcac0590d3,D01,HOPB,HOPB,2018-03-06T14:34Z,HOPB.SS.20180306.AIR,"",18,,0,,20200224T171801Z
b6eaf13e-c7fa-4222-933b-27f6a3396254,D01,HOPB,HOPB,2018-03-12T14:55Z,HOPB.SS.20180312.AIR,"",18,,0,,20200224T171801Z
babe0e3f-bd8c-4e78-89a6-732a74559cf3,D01,HOPB,HOPB,2018-03-19T13:27Z,HOPB.SS.20180319.AIR,"",18,,0,,20200224T171801Z
0ae5baaa-1f47-41bf-b301-f0d215130893,D01,HOPB,HOPB,2018-03-29T13:58Z,HOPB.SS.20180329.AIR,A00000001191,18,,0,,20200224T171801Z
99af6419-c9d9-4afa-9dc5-eb340dfaddb4,D01,HOPB,HOPB,2018-04-05T14:49Z,HOPB.SS.20180405.AIR,A00000001199,18,,0,,20200224T171614Z
bbdde2e4-bf8a-4ae1-a0e3-8d189117cf9c,D01,HOPB,HOPB,2018-04-10T13:36Z,HOPB.SS.20180410.AIR,A00000001220,18,,0,,20200224T171614Z
04b8e49a-cbd5-425d-808c-303eda8755d8,D01,HOPB,HOPB,2018-04-16T13:46Z,HOPB.SS.20180416.AIR,A00000000088,18,,0,,20200224T171614Z
8d9edce4-ede9-4d2c-a47e-423301262c52,D01,HOPB,HOPB,2018-04-25T14:45Z,HOPB.SS.20180425.AIR,A00000000475,18,,0,,20200224T171614Z
95a65484-977f-41b7-960e-88119386ae33,D01,HOPB,HOPB,2018-05-14T13:50Z,HOPB.SS.20180514.AIR,A00000000178,18,,0,,20200224T171411Z
a2178185-8e09-4973-b185-1c23ab217577,D01,HOPB,HOPB,2018-05-22T14:24Z,HOPB.SS.20180522.AIR,A00000000524,18,,0,,20200224T171411Z
31a44210-8529-4556-9804-c9419e1f5c76,D01,HOPB,HOPB,2018-06-04T14:59Z,HOPB.SS.20180604.AIR,A00000001117,18,,0,,20200224T171141Z
8ba980fa-7f44-45f9-9d1d-f051434f4ebf,D01,HOPB,HOPB,2018-06-19T14:00Z,HOPB.SS.20180619.AIR,A00000000681,18,,0,,20200224T171141Z
9885f0d2-8100-4ff2-90b2-31e2fa3fd865,D01,HOPB,HOPB,2018-07-11T14:34Z,HOPB.SS.20180711.AIR,A00000000840,18,,0,,20200224T172204Z
dfebfdda-aca6-4d57-bd75-9f9a1ddedcfb,D01,HOPB,HOPB,2018-07-17T15:39Z,HOPB.SS.20180717.AIR,A00000000908,18,,0,,20200224T172204Z
fd1de839-c81d-4846-aecd-f998d9efcaf9,D01,HOPB,HOPB,2018-08-14T13:02Z,HOPB.SS.20180814.AIR,,18,,0,,20200224T164546Z
dcec9793-f243-4895-99bf-80203b87122b,D01,HOPB,HOPB,2018-09-06T13:22Z,HOPB.SS.20180906.AIR,A00000032160,18,,0,,20200224T164514Z
f68a4556-1631-4065-a135-ef8bf58f92fa,D01,HOPB,HOPB,2018-09-25T13:11Z,HOPB.SS.20180925.AIR,A00000032225,18,,0,,20200224T164514Z
9ed49b25-75de-41ec-8fa2-d4f396b61156,D01,HOPB,HOPB,2018-10-09T15:30Z,HOPB.SS.20181009.AIR,A00000032612,18,,0,,20200224T164112Z
aa8ea257-3664-4212-b4fe-53dc916fd9bf,D01,HOPB,HOPB,2018-11-06T14:17Z,HOPB.SS.20181106.AIR,A00000032852,20,,0,,20200224T163937Z
f925c3cc-96a1-46ee-b775-79bcbe3f5029,D01,HOPB,HOPB,2018-11-13T07:53Z,HOPB.SS.20181113.AIR,A00000033009,20,,0,,20200224T163937Z
ca10b5bc-b692-4642-801d-5a016e54f194,D01,HOPB,HOPB,2018-12-04T15:12Z,HOPB.SS.20181204.AIR,A00000032973,20,,0,,20200224T164708Z
15c5a8f0-0c93-4976-ba16-fab733f4e6c8,D01,HOPB,HOPB,2018-12-10T15:13Z,HOPB.SS.20181210.AIR,A00000032988,20,,0,,20200224T164708Z
ee6987ed-6aa7-4bdf-b62a-1796fb98a453,D01,HOPB,HOPB,2019-01-24T15:13Z,HOPB.SS.20190124.AIR,A00000032987,20,,0,,20200224T172047Z
