uid,domainID,siteID,namedLocation,collectDate,parentSampleID,waterSampleID,waterSampleCode,sdgFieldDataQF,publicationDate
dc05b4b4-bef3-4b2d-bffe-6a1869474a11,D13,COMO,COMO.AOS.S2,2019-04-23T17:05Z,COMO.SS.20190423,COMO.SS.20190423,,,20200224T170619Z
b2466e7b-26ea-409a-819c-f1e792288073,D13,COMO,COMO.AOS.S2,2019-05-13T18:17Z,COMO.SS.20190513,COMO.SS.20190513,,,20200224T170557Z
e4c3fc0f-98d5-4fca-b635-b1a770debe0c,D13,COMO,COMO.AOS.S2,2019-05-21T16:30Z,COMO.SS.20190521,COMO.SS.20190521,,,20200224T170557Z
a6a07610-abcd-47c5-9792-68be0d044a5f,D13,COMO,COMO.AOS.S2,2019-05-28T20:42Z,COMO.SS.20190528,COMO.SS.20190528,,,20200224T170557Z
a08d1317-01e0-4952-91d0-94c3474301b8,D13,COMO,COMO.AOS.S2,2019-06-03T16:41Z,COMO.SS.20190603,COMO.SS.20190603,,,20200224T171505Z
495a5711-d439-40a9-91be-0503496226da,D13,COMO,COMO.AOS.S2,2019-06-10T16:52Z,COMO.SS.20190610,COMO.SS.20190610,,,20200224T171505Z
f0331c17-d033-4c27-b693-90e9f867d3f1,D13,COMO,COMO.AOS.S2,2019-06-12T16:16Z,COMO.SS.20190612,COMO.SS.20190612,,,20200224T171505Z
3a93450f-bbc5-4338-a620-ff423c2eaf50,D13,COMO,COMO.AOS.S2,2019-06-18T16:29Z,COMO.SS.20190618,COMO.SS.20190618,,,20200224T171505Z
8af58d8c-4abd-4dff-bf58-062224399e60,D13,COMO,COMO.AOS.S2,2019-06-20T15:41Z,COMO.SS.20190620,COMO.SS.20190620,,,20200224T171505Z
40bb6d4f-e187-4e21-98bf-d110f45f4092,D13,COMO,COMO.AOS.S2,2019-06-25T15:49Z,COMO.SS.20190625,COMO.SS.20190625,,,20200224T171505Z
90ef82ed-453e-4621-aa54-28d40f4b70a7,D13,COMO,COMO.AOS.S2,2019-06-27T16:10Z,COMO.SS.20190627,COMO.SS.20190627,,,20200224T171505Z
d6e89a1d-c142-42be-8283-64b0e754549f,D13,COMO,COMO.AOS.S2,2019-07-08T16:17Z,COMO.SS.20190708,COMO.SS.20190708,,,20200224T170705Z
15efef5f-14b0-4eb8-a08b-ffb8b47731a3,D13,COMO,COMO.AOS.S2,2019-07-11T14:59Z,COMO.SS.20190711,COMO.SS.20190711,,,20200224T170705Z
bf64886a-006d-4260-905f-d545b9b567fd,D13,COMO,COMO.AOS.S2,2019-07-16T16:50Z,COMO.SS.20190716,COMO.SS.20190716,,,20200224T170705Z
44aec334-d286-433f-9116-64dd0455f819,D13,COMO,COMO.AOS.S2,2019-07-16T16:50Z,COMO.SS.20190716,COMO.SS.20190716.2,,,20200224T170705Z
617d5ff4-7c1e-415f-bffa-2d49d1312dd1,D13,COMO,COMO.AOS.S2,2019-07-16T16:50Z,COMO.SS.20190716,COMO.SS.20190716.3,,,20200224T170705Z
4afe666b-2161-4e1e-8ccf-db59303b87a3,D13,COMO,COMO.AOS.S2,2019-07-22T15:34Z,COMO.SS.20190722,COMO.SS.20190722,,,20200224T170705Z
63680be7-dea4-4870-af1b-d3c711333f5c,D13,COMO,COMO.AOS.S2,2019-08-05T16:20Z,COMO.SS.20190805,COMO.SS.20190805,,,20200224T170612Z
1b735a56-3873-4b52-bd44-8096cc919c9c,D13,COMO,COMO.AOS.S2,2019-08-20T16:23Z,COMO.SS.20190820,COMO.SS.20190820,,,20200224T170612Z
b97d12b7-2cc7-4985-81eb-d6b2f368d765,D13,COMO,COMO.AOS.S2,2019-08-22T15:45Z,COMO.SS.20190822,COMO.SS.20190822,,,20200224T170612Z
024d2f99-8d63-473d-a104-4fea092b4776,D13,COMO,COMO.AOS.S2,2019-09-17T15:47Z,COMO.SS.20190917,COMO.SS.20190917,,,20200224T170339Z
701c9770-44b7-4cb1-b1c6-cdf9272aa64d,D13,COMO,COMO.AOS.S2,2019-09-24T17:06Z,COMO.SS.20190924,COMO.SS.20190924,,,20200224T170339Z
73717f89-c95d-450d-926e-aba616853f0e,D13,COMO,COMO.AOS.S2,2019-10-15T16:00Z,COMO.SS.20191015,COMO.SS.20191015,,,20200309T153640Z
dd0f4733-4407-437e-90fd-07b6a1a5f849,D13,COMO,COMO.AOS.S2,2019-11-19T18:15Z,COMO.SS.20191119,COMO.SS.20191119.2,,,20200406T161120Z
b70231bc-6128-40dd-a8c6-51e42b95d423,D13,COMO,COMO.AOS.S2,2019-11-19T18:15Z,COMO.SS.20191119,COMO.SS.20191119,,,20200406T161120Z
f3d85469-c18c-4a5c-9e40-b3185f810e2d,D13,COMO,COMO.AOS.S2,2019-11-19T18:15Z,COMO.SS.20191119,COMO.SS.20191119.3,,,20200406T161120Z
71b4ac05-d1cd-4c52-9859-d8f36ba246e5,D13,COMO,COMO.AOS.S2,2019-12-17T17:45Z,COMO.SS.20191217,COMO.SS.20191217,,,20200504T161049Z
