uid,domainID,siteID,namedLocation,collectDate,processedDate,waterSampleID,waterSampleCode,equilibratedAirSampleID,equilibratedAirSampleCode,referenceAirSampleID,referenceAirSampleCode,storageWaterTemp,ptBarometricPressure,waterVolumeSyringe,gasVolumeSyringe,gasVolumeSample,lowGasVolumeQF,sdgProcessDataQF,publicationDate
31ccacd8-6d54-4811-8f0d-e9ca3d78fc8a,D04,CUPE,CUPE.AOS.S2,2019-09-23T12:53Z,2019-09-23T13:00Z,CUPE.SS.20190923,,CUPE.SS.20190923.WAT,A00000112675,CUPE.SS.20190923.AIR,A00000112678,,99.5,40,20,16,0,,20200224T163344Z
8f6e37fa-ce4b-46d3-96c0-04c408175463,D04,CUPE,CUPE.AOS.S2,2019-09-23T12:53Z,2019-09-23T13:00Z,CUPE.SS.20190923.2,,CUPE.SS.20190923.WAT.2,A00000112676,CUPE.SS.20190923.AIR,A00000112678,,99.5,40,20,16,0,,20200224T163344Z
a959f91e-4f9e-478e-82cc-70b74a821c8a,D04,CUPE,CUPE.AOS.S2,2019-09-23T12:53Z,2019-09-23T13:00Z,CUPE.SS.20190923.3,,CUPE.SS.20190923.WAT.3,A00000112677,CUPE.SS.20190923.AIR,A00000112678,,99.5,40,20,16,0,,20200224T163344Z
08f999ee-57ad-4e7a-bc07-e80200b9781a,D04,CUPE,CUPE.AOS.S2,2019-10-01T11:43Z,2019-10-01T11:52Z,CUPE.SS.20191001,,CUPE.SS.20191001.WAT,A00000109709,CUPE.SS.20191001.AIR,A00000109708,,99.4,40,20,16,0,,20200309T150029Z
2eea80e2-bb20-4a15-9556-d100952f4a0a,D04,CUPE,CUPE.AOS.S2,2019-10-07T11:27Z,2019-10-07T11:33Z,CUPE.SS.20191007,,CUPE.SS.20191007.WAT,A00000112449,CUPE.SS.20191007.AIR,A00000112450,,99.7,40,20,18,0,,20200309T150029Z
2c1f4285-d912-42a9-8cec-6d57ace73e3f,D04,CUPE,CUPE.AOS.S2,2019-10-16T12:00Z,2019-10-16T12:05Z,CUPE.SS.20191016,,CUPE.SS.20191016.WAT,A00000112375,CUPE.SS.20191016.AIR,A00000112376,,99.8,40,20,18,0,,20200309T150029Z
cf1d6c72-4672-4757-9cdd-3f1b854a9d44,D04,CUPE,CUPE.AOS.S2,2019-10-28T11:40Z,2019-10-28T11:44Z,CUPE.SS.20191028,,CUPE.SS.20191028.WAT,A00000112359,CUPE.SS.20191028.AIR,A00000112360,,99.8,40,20,17,0,,20200309T150029Z
e8175b92-d762-403a-8d7d-1b78d0fa0605,D04,CUPE,CUPE.AOS.S2,2019-11-05T11:38Z,2019-11-05T11:41Z,CUPE.SS.20191105,,CUPE.SS.20191105.WAT,A00000112278,CUPE.SS.20191105.AIR,A00000112279,,99.8,40,20,17,0,,20200406T144841Z
94133d8e-52d4-4b47-8580-03e66f8f6a65,D04,CUPE,CUPE.AOS.S2,2019-11-11T11:41Z,2019-11-11T12:00Z,CUPE.SS.20191111,,CUPE.SS.20191111.WAT,A00000109861,CUPE.SS.20191111.AIR,A00000109862,,99.7,40,20,17,0,,20200406T144841Z
9d284497-fca9-4012-aef3-6473238abb61,D04,CUPE,CUPE.AOS.S2,2019-12-03T10:51Z,2019-12-03T11:01Z,CUPE.SS.20191203,,CUPE.SS.20191203.WAT,A00000110061,CUPE.SS.20191203.AIR,A00000110060,,99.5,40,20,17,0,,20200504T172311Z
